epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,47.8494,0.41051,0.55688,0.84663,0,0,0,0,0,241,0,0.000665057,0.000665057,0.000665057
56,48.7006,0.40473,0.55687,0.82805,0,0,0,0,0,273.75,0,0.000650909,0.000650909,0.000650909
57,49.5099,0.3762,0.5451,0.82734,0,0,0,0,0,273.75,0,0.000636762,0.000636762,0.000636762
58,50.3653,0.40192,0.5515,0.84541,0,0,0,0,0,301.75,0,0.000622615,0.000622615,0.000622615
59,51.4016,0.43102,0.58131,0.85293,0,0,0,0,0,324.25,0,0.000608468,0.000608468,0.000608468
60,52.3338,0.39069,0.54064,0.82843,0,0,0,0,0,345.25,0,0.000594321,0.000594321,0.000594321
61,53.1535,0.39273,0.53981,0.82862,0,0,0,0,0,345.25,0,0.000580174,0.000580174,0.000580174
62,54.0407,0.40376,0.52943,0.82719,0,0,0,0,0,353.5,0,0.000566027,0.000566027,0.000566027
63,54.9233,0.37557,0.5233,0.8167,0,0,0,0,0,355.25,0,0.00055188,0.00055188,0.00055188
64,55.818,0.36799,0.51045,0.81458,0,0,0,0,0,369.25,0,0.000537733,0.000537733,0.000537733
65,56.7457,0.40907,0.51424,0.83102,0,0,0,0,0,369.25,0,0.000523586,0.000523586,0.000523586
66,57.6618,0.36498,0.50304,0.8263,0,0,0,0,0,400.5,0,0.000509438,0.000509438,0.000509438
67,58.662,0.35216,0.4978,0.81794,0,0,0,0,0,425.25,0,0.000495291,0.000495291,0.000495291
68,59.557,0.36229,0.51099,0.82282,0,0,0,0,0,425.25,0,0.000481144,0.000481144,0.000481144
69,60.4072,0.35196,0.50265,0.81243,0,0,0,0,0,425.25,0,0.000466997,0.000466997,0.000466997
70,61.3494,0.32681,0.48117,0.80332,0,0,0,0,0,414.5,0,0.00045285,0.00045285,0.00045285
71,62.2996,0.36009,0.49226,0.84298,0,0,0,0,0,402.25,0,0.000438703,0.000438703,0.000438703
72,63.2804,0.37209,0.50409,0.83467,0,0,0,0,0,400.75,0,0.000424556,0.000424556,0.000424556
73,64.1793,0.33367,0.48078,0.83312,0,0,0,0,0,400.75,0,0.000410409,0.000410409,0.000410409
74,65.0635,0.34038,0.47863,0.82308,0,0,0,0,0,388.75,0,0.000396262,0.000396262,0.000396262
75,66.1154,0.35609,0.51206,0.83153,0,0,0,0,0,376.5,0,0.000382115,0.000382115,0.000382115
76,67.1376,0.33912,0.49144,0.81475,0,0,0,0,0,373.25,0,0.000367967,0.000367967,0.000367967
77,67.9772,0.33316,0.47234,0.80501,0,0,0,0,0,373.25,0,0.00035382,0.00035382,0.00035382
78,68.8754,0.32531,0.46254,0.82305,0,0,0,0,0,382,0,0.000339673,0.000339673,0.000339673
