epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77598,1.57126,4.02675,1.52621,0,0,0,0,0,17.7188,0,2.858e-05,2.858e-05,2.858e-05
2,4.21752,1.5869,4.01899,1.46718,0,0,0,0,0,17.7188,0,7.07426e-05,7.07426e-05,7.07426e-05
3,5.90378,1.27402,3.67064,1.24367,0,0,0,0,0,17.7188,0,0.000112056,0.000112056,0.000112056
4,6.78361,0.96143,3.22385,1.00855,0,0,0,0,0,17.7188,0,0.000152521,0.000152521,0.000152521
5,7.64012,0.88697,2.77075,0.96632,0,0,0,0,0,17.7188,0,0.000192138,0.000192138,0.000192138
6,8.47561,0.89198,2.2835,0.96554,0,0,0,0,0,17.7188,0,0.000230905,0.000230905,0.000230905
7,9.27961,0.83376,2.05072,0.93722,0,0,0,0,0,17.7969,0,0.000268823,0.000268823,0.000268823
8,10.1341,0.7765,1.64124,0.93312,0,0,0,0,0,17.9375,0,0.000305893,0.000305893,0.000305893
9,10.9168,0.74391,1.33608,0.90459,0,0,0,0,0,18.0625,0,0.000342114,0.000342114,0.000342114
10,11.637,0.79494,1.21623,0.9224,0,0,0,0,0,18.2188,0,0.000377486,0.000377486,0.000377486
11,12.4006,0.7815,1.13996,0.8935,0,0,0,0,0,18.4375,0,0.000412009,0.000412009,0.000412009
12,13.139,0.76463,1.06689,0.93452,0,0,0,0,0,18.5625,0,0.000445684,0.000445684,0.000445684
13,13.939,0.69451,0.93282,0.91001,0,0,0,0,0,18.8438,0,0.000478509,0.000478509,0.000478509
14,14.7229,0.67143,0.89717,0.90518,0,0,0,0,0,18.9219,0,0.000510486,0.000510486,0.000510486
15,15.527,0.66303,0.9113,0.92135,0,0,0,0,0,18.9688,0,0.000541614,0.000541614,0.000541614
16,16.2806,0.65126,0.85541,0.89025,0,0,0,0,0,18.9531,0,0.000571893,0.000571893,0.000571893
17,17.1441,0.69973,0.9062,0.91987,0,0,0,0,0,18.6562,0,0.000601323,0.000601323,0.000601323
18,17.8482,0.66454,0.86485,0.8967,0,0,0,0,0,18.8438,0,0.000629905,0.000629905,0.000629905
19,18.549,0.65933,0.83686,0.8939,0,0,0,0,0,19.1719,0,0.000657637,0.000657637,0.000657637
20,19.3248,0.62561,0.79372,0.89784,0,0,0,0,0,19.7344,0,0.000684521,0.000684521,0.000684521
21,20.2065,0.58521,0.79441,0.88723,0,0,0,0,0,20.6719,0,0.000710556,0.000710556,0.000710556
22,21.2077,0.57752,0.77074,0.87884,0,0,0,0,0,22.0312,0,0.000735742,0.000735742,0.000735742
23,22.0187,0.61122,0.75396,0.88359,0,0,0,0,0,23.5469,0,0.000760079,0.000760079,0.000760079
24,22.9218,0.5928,0.74012,0.85809,0,0,0,0,0,25.0938,0,0.000783568,0.000783568,0.000783568
25,23.829,0.58335,0.75081,0.87752,0,0,0,0,0,26.1562,0,0.000806208,0.000806208,0.000806208
26,24.8765,0.6031,0.75525,0.87773,0,0,0,0,0,26.375,0,0.000827998,0.000827998,0.000827998
27,25.7732,0.54264,0.74306,0.85476,0,0,0,0,0,24.8906,0,0.00084894,0.00084894,0.00084894
28,26.6231,0.62045,0.77846,0.90201,0,0,0,0,0,24.125,0,0.000869033,0.000869033,0.000869033
29,27.4546,0.53758,0.70991,0.86266,0,0,0,0,0,24.125,0,0.000888278,0.000888278,0.000888278
30,28.3185,0.54767,0.74205,0.88932,0,0,0,0,0,25.3906,0,0.000906673,0.000906673,0.000906673
31,29.1973,0.51495,0.70664,0.86702,0,0,0,0,0,28.3438,0,0.00092422,0.00092422,0.00092422
32,30.0802,0.53088,0.68868,0.87736,0,0,0,0,0,31.9531,0,0.000940918,0.000940918,0.000940918
33,30.8945,0.52537,0.68611,0.88002,0,0,0,0,0,31.9531,0,0.000956767,0.000956767,0.000956767
34,31.751,0.50525,0.66906,0.86069,0,0,0,0,0,39.25,0,0.000962146,0.000962146,0.000962146
35,32.8044,0.49578,0.68868,0.83574,0,0,0,0,0,48.75,0,0.000947999,0.000947999,0.000947999
36,33.7116,0.5374,0.68222,0.88463,0,0,0,0,0,60.75,0,0.000933851,0.000933851,0.000933851
37,34.5548,0.51593,0.67784,0.8704,0,0,0,0,0,60.75,0,0.000919704,0.000919704,0.000919704
38,35.5337,0.53533,0.66722,0.86108,0,0,0,0,0,73.5,0,0.000905557,0.000905557,0.000905557
39,36.5054,0.4939,0.6381,0.84804,0,0,0,0,0,85.3125,0,0.00089141,0.00089141,0.00089141
40,37.4214,0.4814,0.63592,0.84171,0,0,0,0,0,94.8125,0,0.000877263,0.000877263,0.000877263
41,38.2216,0.49966,0.64815,0.85656,0,0,0,0,0,94.8125,0,0.000863116,0.000863116,0.000863116
42,39.0912,0.46177,0.63943,0.85335,0,0,0,0,0,108.375,0,0.000848969,0.000848969,0.000848969
43,39.9966,0.43585,0.59497,0.83464,0,0,0,0,0,123.812,0,0.000834822,0.000834822,0.000834822
44,40.8914,0.45064,0.59697,0.84997,0,0,0,0,0,145.5,0,0.000820675,0.000820675,0.000820675
45,41.7751,0.46404,0.62204,0.84335,0,0,0,0,0,145.5,0,0.000806528,0.000806528,0.000806528
46,42.6396,0.441,0.60067,0.84295,0,0,0,0,0,154.375,0,0.00079238,0.00079238,0.00079238
47,43.5083,0.43943,0.59421,0.83318,0,0,0,0,0,159.125,0,0.000778233,0.000778233,0.000778233
48,44.3788,0.43048,0.58523,0.82833,0,0,0,0,0,154.25,0,0.000764086,0.000764086,0.000764086
49,45.1679,0.40215,0.556,0.83478,0,0,0,0,0,154.25,0,0.000749939,0.000749939,0.000749939
50,46.0054,0.42155,0.55605,0.82831,0,0,0,0,0,149,0,0.000735792,0.000735792,0.000735792
51,46.8183,0.3996,0.55758,0.82242,0,0,0,0,0,153.625,0,0.000721645,0.000721645,0.000721645
52,47.6425,0.41433,0.5892,0.83912,0,0,0,0,0,170.625,0,0.000707498,0.000707498,0.000707498
53,48.3811,0.46167,0.58111,0.83356,0,0,0,0,0,170.625,0,0.000693351,0.000693351,0.000693351
54,49.2667,0.41053,0.55611,0.84927,0,0,0,0,0,201.375,0,0.000679204,0.000679204,0.000679204
55,50.1355,0.41051,0.55688,0.84663,0,0,0,0,0,241,0,0.000665057,0.000665057,0.000665057
56,51.0364,0.40473,0.55687,0.82805,0,0,0,0,0,273.75,0,0.000650909,0.000650909,0.000650909
57,51.8149,0.3762,0.5451,0.82734,0,0,0,0,0,273.75,0,0.000636762,0.000636762,0.000636762
58,52.6022,0.40192,0.5515,0.84541,0,0,0,0,0,301.75,0,0.000622615,0.000622615,0.000622615
59,53.3968,0.43102,0.58131,0.85293,0,0,0,0,0,324.25,0,0.000608468,0.000608468,0.000608468
60,54.1976,0.39069,0.54064,0.82843,0,0,0,0,0,345.25,0,0.000594321,0.000594321,0.000594321
61,54.9688,0.39273,0.53981,0.82862,0,0,0,0,0,345.25,0,0.000580174,0.000580174,0.000580174
62,55.8909,0.40376,0.52943,0.82719,0,0,0,0,0,353.5,0,0.000566027,0.000566027,0.000566027
63,56.7041,0.37557,0.5233,0.8167,0,0,0,0,0,355.25,0,0.00055188,0.00055188,0.00055188
64,57.5262,0.36799,0.51045,0.81458,0,0,0,0,0,369.25,0,0.000537733,0.000537733,0.000537733
65,58.2994,0.40907,0.51424,0.83102,0,0,0,0,0,369.25,0,0.000523586,0.000523586,0.000523586
66,59.0974,0.36498,0.50304,0.8263,0,0,0,0,0,400.5,0,0.000509438,0.000509438,0.000509438
67,59.8767,0.35216,0.4978,0.81794,0,0,0,0,0,425.25,0,0.000495291,0.000495291,0.000495291
68,60.6777,0.36229,0.51099,0.82282,0,0,0,0,0,425.25,0,0.000481144,0.000481144,0.000481144
69,61.4696,0.35196,0.50265,0.81243,0,0,0,0,0,425.25,0,0.000466997,0.000466997,0.000466997
70,62.4687,0.32681,0.48117,0.80332,0,0,0,0,0,414.5,0,0.00045285,0.00045285,0.00045285
71,63.302,0.36009,0.49226,0.84298,0,0,0,0,0,402.25,0,0.000438703,0.000438703,0.000438703
72,64.1187,0.37209,0.50409,0.83467,0,0,0,0,0,400.75,0,0.000424556,0.000424556,0.000424556
73,64.9134,0.33367,0.48078,0.83312,0,0,0,0,0,400.75,0,0.000410409,0.000410409,0.000410409
74,65.8548,0.34038,0.47863,0.82308,0,0,0,0,0,388.75,0,0.000396262,0.000396262,0.000396262
75,66.7119,0.35609,0.51206,0.83153,0,0,0,0,0,376.5,0,0.000382115,0.000382115,0.000382115
76,67.5482,0.33912,0.49144,0.81475,0,0,0,0,0,373.25,0,0.000367967,0.000367967,0.000367967
77,68.3434,0.33316,0.47234,0.80501,0,0,0,0,0,373.25,0,0.00035382,0.00035382,0.00035382
78,69.2644,0.32531,0.46254,0.82305,0,0,0,0,0,382,0,0.000339673,0.000339673,0.000339673
79,70.0585,0.32861,0.46396,0.82033,0,0,0,0,0,393,0,0.000325526,0.000325526,0.000325526
80,70.8412,0.32881,0.45707,0.84091,0,0,0,0,0,397.75,0,0.000311379,0.000311379,0.000311379
81,71.7031,0.29692,0.46807,0.80596,0,0,0,0,0,397.75,0,0.000297232,0.000297232,0.000297232
82,72.4906,0.31551,0.45853,0.81734,0,0,0,0,0,397,0,0.000283085,0.000283085,0.000283085
83,73.3023,0.32609,0.47174,0.81203,0,0,0,0,0,398.25,0,0.000268938,0.000268938,0.000268938
84,74.1261,0.30017,0.45718,0.81361,0,0,0,0,0,401.5,0,0.000254791,0.000254791,0.000254791
85,74.9964,0.29583,0.44374,0.82516,0,0,0,0,0,401.5,0,0.000240644,0.000240644,0.000240644
86,75.8464,0.3098,0.47799,0.82226,0,0,0,0,0,402.5,0,0.000226497,0.000226497,0.000226497
87,76.7331,0.2839,0.44438,0.82637,0,0,0,0,0,408.5,0,0.000212349,0.000212349,0.000212349
88,77.6445,0.29058,0.45872,0.81079,0,0,0,0,0,419,0,0.000198202,0.000198202,0.000198202
89,78.4662,0.2861,0.46329,0.81983,0,0,0,0,0,419,0,0.000184055,0.000184055,0.000184055
90,79.2422,0.27972,0.43686,0.81167,0,0,0,0,0,436,0,0.000169908,0.000169908,0.000169908
91,108.713,0.25798,0.54497,0.7886,0,0,0,0,0,444.25,0,0.000155761,0.000155761,0.000155761
92,109.611,0.26215,0.51302,0.78779,0,0,0,0,0,444,0,0.000141614,0.000141614,0.000141614
