epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.27284,1.57126,4.02675,1.52621,0,0,0,0,0,17.7188,0,2.858e-05,2.858e-05,2.858e-05
2,4.93917,1.5869,4.01899,1.46718,0,0,0,0,0,17.7188,0,7.07426e-05,7.07426e-05,7.07426e-05
3,6.56023,1.27402,3.67064,1.24367,0,0,0,0,0,17.7188,0,0.000112056,0.000112056,0.000112056
4,7.51994,0.96143,3.22385,1.00855,0,0,0,0,0,17.7188,0,0.000152521,0.000152521,0.000152521
5,8.43147,0.88697,2.77075,0.96632,0,0,0,0,0,17.7188,0,0.000192138,0.000192138,0.000192138
6,9.32392,0.89198,2.2835,0.96554,0,0,0,0,0,17.7188,0,0.000230905,0.000230905,0.000230905
7,10.1889,0.83376,2.05072,0.93722,0,0,0,0,0,17.7969,0,0.000268823,0.000268823,0.000268823
8,11.006,0.7765,1.64124,0.93312,0,0,0,0,0,17.9375,0,0.000305893,0.000305893,0.000305893
9,11.8603,0.74391,1.33608,0.90459,0,0,0,0,0,18.0625,0,0.000342114,0.000342114,0.000342114
10,12.6424,0.79494,1.21623,0.9224,0,0,0,0,0,18.2188,0,0.000377486,0.000377486,0.000377486
11,13.4046,0.7815,1.13996,0.8935,0,0,0,0,0,18.4375,0,0.000412009,0.000412009,0.000412009
12,14.12,0.76463,1.06689,0.93452,0,0,0,0,0,18.5625,0,0.000445684,0.000445684,0.000445684
13,14.8947,0.69451,0.93282,0.91001,0,0,0,0,0,18.8438,0,0.000478509,0.000478509,0.000478509
14,15.6462,0.67143,0.89717,0.90518,0,0,0,0,0,18.9219,0,0.000510486,0.000510486,0.000510486
15,16.6074,0.66303,0.9113,0.92135,0,0,0,0,0,18.9688,0,0.000541614,0.000541614,0.000541614
16,17.5643,0.65126,0.85541,0.89025,0,0,0,0,0,18.9531,0,0.000571893,0.000571893,0.000571893
17,18.5158,0.69973,0.9062,0.91987,0,0,0,0,0,18.6562,0,0.000601323,0.000601323,0.000601323
18,19.4137,0.66454,0.86485,0.8967,0,0,0,0,0,18.8438,0,0.000629905,0.000629905,0.000629905
