epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85644,1.57126,4.02675,1.52621,0.0052,0.33333,0.01027,0.00794,1.33323,3.35047,1.23102,2.858e-05,2.858e-05,2.858e-05
2,2.71482,1.5869,4.01899,1.46718,0.00506,0.33333,0.01608,0.01247,1.27651,3.40887,1.25879,7.07426e-05,7.07426e-05,7.07426e-05
3,3.66459,1.27402,3.67064,1.24367,0.0054,0.34188,0.06335,0.04699,1.00818,3.29809,0.97425,0.000112056,0.000112056,0.000112056
4,4.62201,0.96143,3.22385,1.00855,0.0096,0.68376,0.32695,0.24812,0.71361,3.25263,0.7774,0.000152521,0.000152521,0.000152521
5,5.56053,0.88697,2.77075,0.96632,0.01339,0.99145,0.33924,0.27714,0.73433,3.22669,0.7315,0.000192138,0.000192138,0.000192138
6,6.48068,0.89198,2.2835,0.96554,0.01345,1,0.33973,0.27601,0.72965,3.23398,0.73897,0.000230905,0.000230905,0.000230905
7,7.48056,0.83376,2.05072,0.93722,0.01313,0.98291,0.33933,0.29491,0.6648,3.2196,0.74314,0.000268823,0.000268823,0.000268823
8,8.36148,0.7765,1.64124,0.93312,0.01316,0.98291,0.33928,0.28629,0.65693,3.20215,0.75636,0.000305893,0.000305893,0.000305893
9,9.29471,0.74391,1.33608,0.90459,0.01354,0.99145,0.53173,0.45444,0.6959,3.12653,0.77176,0.000342114,0.000342114,0.000342114
10,10.2036,0.79494,1.21623,0.9224,0.01348,0.96581,0.65847,0.57887,0.74415,3.06305,0.76317,0.000377486,0.000377486,0.000377486
11,11.1421,0.7815,1.13996,0.8935,0.01386,0.99145,0.66655,0.6043,0.75043,3.00201,0.76018,0.000412009,0.000412009,0.000412009
12,12.034,0.76463,1.06689,0.93452,0.01372,1,0.66586,0.60116,0.72972,3.00861,0.7725,0.000445684,0.000445684,0.000445684
13,12.9612,0.69451,0.93282,0.91001,0.01332,1,0.66711,0.57885,0.75974,2.98836,0.78872,0.000478509,0.000478509,0.000478509
14,13.8224,0.67143,0.89717,0.90518,0.01324,1,0.66982,0.59644,0.68527,2.95124,0.76535,0.000510486,0.000510486,0.000510486
15,14.7138,0.66303,0.9113,0.92135,0.01299,1,0.66777,0.63294,0.68196,2.90991,0.73928,0.000541614,0.000541614,0.000541614
16,15.6875,0.65126,0.85541,0.89025,0.01306,1,0.66755,0.61214,0.65426,2.90516,0.74298,0.000571893,0.000571893,0.000571893
17,16.5934,0.69973,0.9062,0.91987,0.01278,1,0.66784,0.61496,0.62705,2.90865,0.73422,0.000601323,0.000601323,0.000601323
18,17.4712,0.66454,0.86485,0.8967,0.0127,1,0.66773,0.59616,0.65378,2.85501,0.73064,0.000629905,0.000629905,0.000629905
19,18.3551,0.65933,0.83686,0.8939,0.01241,0.99145,0.66758,0.5982,0.63218,2.80384,0.73097,0.000657637,0.000657637,0.000657637
20,19.2712,0.62561,0.79372,0.89784,0.01255,1,0.66755,0.57811,0.63812,2.73272,0.74231,0.000684521,0.000684521,0.000684521
21,20.1362,0.58521,0.79441,0.88723,0.99111,0.66667,0.66739,0.57815,0.6361,2.60303,0.73662,0.000710556,0.000710556,0.000710556
22,21.0189,0.57752,0.77074,0.87884,0.99938,0.48326,0.6672,0.59941,0.65832,2.49159,0.72692,0.000735742,0.000735742,0.000735742
23,21.9248,0.61122,0.75396,0.88359,0.99647,0.65651,0.66736,0.61089,0.68499,2.39036,0.72147,0.000760079,0.000760079,0.000760079
24,22.8287,0.5928,0.74012,0.85809,0.9952,0.66667,0.66735,0.64386,0.59641,2.34767,0.73241,0.000783568,0.000783568,0.000783568
25,23.7096,0.58335,0.75081,0.87752,0.99509,0.66667,0.66739,0.6306,0.53578,2.32409,0.73259,0.000806208,0.000806208,0.000806208
26,24.6572,0.6031,0.75525,0.87773,0.99548,0.66667,0.6675,0.60737,0.69034,2.29313,0.76828,0.000827998,0.000827998,0.000827998
27,25.5482,0.54264,0.74306,0.85476,0.99824,0.66667,0.66744,0.61062,0.72831,2.32347,0.78954,0.00084894,0.00084894,0.00084894
28,26.4307,0.62045,0.77846,0.90201,0.99848,0.66425,0.66734,0.63817,0.52253,2.32738,0.75243,0.000869033,0.000869033,0.000869033
