epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,27.2753,0.53758,0.70991,0.86266,0.99848,0.66425,0.66734,0.63817,0.52253,2.32738,0.75243,0.000888278,0.000888278,0.000888278
30,28.1423,0.54767,0.74205,0.88932,0.99681,0.66552,0.66704,0.60916,0.56338,2.25609,0.76352,0.000906673,0.000906673,0.000906673
31,29.0135,0.51495,0.70664,0.86702,0.99445,0.66667,0.66696,0.60641,0.59457,2.15504,0.77029,0.00092422,0.00092422,0.00092422
32,29.8813,0.53088,0.68868,0.87736,0.99407,0.66667,0.67017,0.64061,0.48732,1.97706,0.74465,0.000940918,0.000940918,0.000940918
33,30.7519,0.52537,0.68611,0.88002,0.99407,0.66667,0.67017,0.64061,0.48732,1.97706,0.74465,0.000956767,0.000956767,0.000956767
34,31.7622,0.50525,0.66906,0.86069,0.98947,0.66667,0.96514,0.91754,0.45933,1.74402,0.73894,0.000962146,0.000962146,0.000962146
35,32.662,0.49578,0.68868,0.83574,0.98883,0.66667,0.995,0.95189,0.41549,1.55242,0.73003,0.000947999,0.000947999,0.000947999
36,33.5458,0.5374,0.68222,0.88463,0.98824,0.66667,0.995,0.89864,0.50385,1.39981,0.73133,0.000933851,0.000933851,0.000933851
37,34.3823,0.51593,0.67784,0.8704,0.98824,0.66667,0.995,0.89864,0.50385,1.39981,0.73133,0.000919704,0.000919704,0.000919704
38,35.2417,0.53533,0.66722,0.86108,0.98794,0.66667,0.995,0.91145,0.51255,1.28879,0.73712,0.000905557,0.000905557,0.000905557
39,36.1,0.4939,0.6381,0.84804,0.98781,0.70743,0.995,0.91525,0.46905,1.18594,0.7419,0.00089141,0.00089141,0.00089141
40,36.9862,0.4814,0.63592,0.84171,0.98773,0.91372,0.995,0.91742,0.46632,1.07216,0.74141,0.000877263,0.000877263,0.000877263
41,37.8234,0.49966,0.64815,0.85656,0.98773,0.91372,0.995,0.91742,0.46632,1.07216,0.74141,0.000863116,0.000863116,0.000863116
42,38.6954,0.46177,0.63943,0.85335,0.98788,0.99331,0.995,0.92664,0.46694,0.98615,0.73871,0.000848969,0.000848969,0.000848969
43,39.6882,0.43585,0.59497,0.83464,0.98648,1,0.995,0.95378,0.40937,0.89798,0.73585,0.000834822,0.000834822,0.000834822
44,40.58,0.45064,0.59697,0.84997,0.98653,1,0.995,0.96663,0.34103,0.78108,0.72596,0.000820675,0.000820675,0.000820675
45,41.4265,0.46404,0.62204,0.84335,0.98653,1,0.995,0.96663,0.34103,0.78108,0.72596,0.000806528,0.000806528,0.000806528
46,42.3163,0.441,0.60067,0.84295,0.98639,1,0.995,0.94461,0.36931,0.73655,0.7304,0.00079238,0.00079238,0.00079238
47,43.2243,0.43943,0.59421,0.83318,0.98794,1,0.995,0.94929,0.35564,0.69595,0.71774,0.000778233,0.000778233,0.000778233
48,44.0981,0.43048,0.58523,0.82833,0.9886,1,0.995,0.96672,0.31272,0.7062,0.70892,0.000764086,0.000764086,0.000764086
49,44.9773,0.40215,0.556,0.83478,0.9886,1,0.995,0.96672,0.31272,0.7062,0.70892,0.000749939,0.000749939,0.000749939
50,45.8577,0.42155,0.55605,0.82831,0.98906,1,0.995,0.96489,0.32643,0.70986,0.71451,0.000735792,0.000735792,0.000735792
51,46.8376,0.3996,0.55758,0.82242,0.99007,1,0.995,0.94578,0.35053,0.7011,0.71812,0.000721645,0.000721645,0.000721645
52,47.6999,0.41433,0.5892,0.83912,0.98955,1,0.995,0.95891,0.34438,0.65306,0.71711,0.000707498,0.000707498,0.000707498
53,48.5142,0.46167,0.58111,0.83356,0.98955,1,0.995,0.95891,0.34438,0.65306,0.71711,0.000693351,0.000693351,0.000693351
54,49.3967,0.41053,0.55611,0.84927,0.98998,1,0.995,0.95113,0.39596,0.61666,0.71464,0.000679204,0.000679204,0.000679204
55,50.3071,0.41051,0.55688,0.84663,0.99089,1,0.995,0.94683,0.42568,0.57177,0.72357,0.000665057,0.000665057,0.000665057
56,51.1748,0.40473,0.55687,0.82805,0.99109,1,0.995,0.95354,0.35449,0.52589,0.71508,0.000650909,0.000650909,0.000650909
57,52.0456,0.3762,0.5451,0.82734,0.99109,1,0.995,0.95354,0.35449,0.52589,0.71508,0.000636762,0.000636762,0.000636762
58,52.9485,0.40192,0.5515,0.84541,0.99159,1,0.995,0.96661,0.32782,0.51004,0.70245,0.000622615,0.000622615,0.000622615
59,53.8313,0.43102,0.58131,0.85293,0.99169,1,0.995,0.95829,0.34563,0.47625,0.70332,0.000608468,0.000608468,0.000608468
60,54.7981,0.39069,0.54064,0.82843,0.99225,1,0.995,0.93425,0.37144,0.44989,0.70855,0.000594321,0.000594321,0.000594321
61,55.6565,0.39273,0.53981,0.82862,0.99225,1,0.995,0.93425,0.37144,0.44989,0.70855,0.000580174,0.000580174,0.000580174
62,56.5344,0.40376,0.52943,0.82719,0.99261,1,0.995,0.94376,0.32492,0.45522,0.70119,0.000566027,0.000566027,0.000566027
63,57.4063,0.37557,0.5233,0.8167,0.99347,1,0.995,0.96458,0.28495,0.43647,0.69265,0.00055188,0.00055188,0.00055188
64,58.2757,0.36799,0.51045,0.81458,0.99473,1,0.995,0.9598,0.28985,0.41893,0.69661,0.000537733,0.000537733,0.000537733
65,59.1172,0.40907,0.51424,0.83102,0.99473,1,0.995,0.9598,0.28985,0.41893,0.69661,0.000523586,0.000523586,0.000523586
66,59.9908,0.36498,0.50304,0.8263,0.99591,1,0.995,0.94437,0.28625,0.40554,0.69844,0.000509438,0.000509438,0.000509438
67,60.8767,0.35216,0.4978,0.81794,0.99672,1,0.995,0.96492,0.26486,0.39372,0.69832,0.000495291,0.000495291,0.000495291
68,61.8351,0.36229,0.51099,0.82282,0.99692,1,0.995,0.96338,0.28567,0.41404,0.70027,0.000481144,0.000481144,0.000481144
69,62.7,0.35196,0.50265,0.81243,0.99692,1,0.995,0.96338,0.28567,0.41404,0.70027,0.000466997,0.000466997,0.000466997
70,63.5695,0.32681,0.48117,0.80332,0.99664,1,0.995,0.96698,0.29589,0.41704,0.69742,0.00045285,0.00045285,0.00045285
71,64.4444,0.36009,0.49226,0.84298,0.99615,1,0.995,0.97299,0.26804,0.40805,0.69271,0.000438703,0.000438703,0.000438703
72,65.3744,0.37209,0.50409,0.83467,0.9957,1,0.995,0.96666,0.28384,0.40808,0.69322,0.000424556,0.000424556,0.000424556
73,66.2212,0.33367,0.48078,0.83312,0.9957,1,0.995,0.96666,0.28384,0.40808,0.69322,0.000410409,0.000410409,0.000410409
74,67.0928,0.34038,0.47863,0.82308,0.99539,1,0.995,0.96132,0.29894,0.40854,0.69688,0.000396262,0.000396262,0.000396262
75,67.9745,0.35609,0.51206,0.83153,0.99553,1,0.995,0.96002,0.28239,0.38558,0.69864,0.000382115,0.000382115,0.000382115
76,68.9442,0.33912,0.49144,0.81475,0.99614,1,0.995,0.9576,0.31762,0.41278,0.6983,0.000367967,0.000367967,0.000367967
77,69.7886,0.33316,0.47234,0.80501,0.99614,1,0.995,0.9576,0.31762,0.41278,0.6983,0.00035382,0.00035382,0.00035382
78,70.6559,0.32531,0.46254,0.82305,0.99681,1,0.995,0.9438,0.36073,0.40803,0.70529,0.000339673,0.000339673,0.000339673
79,71.5342,0.32861,0.46396,0.82033,0.9972,1,0.995,0.95697,0.34934,0.39701,0.70832,0.000325526,0.000325526,0.000325526
80,72.4129,0.32881,0.45707,0.84091,0.99752,1,0.995,0.96495,0.29468,0.37826,0.70509,0.000311379,0.000311379,0.000311379
81,73.2552,0.29692,0.46807,0.80596,0.99752,1,0.995,0.96495,0.29468,0.37826,0.70509,0.000297232,0.000297232,0.000297232
82,74.1411,0.31551,0.45853,0.81734,0.99736,1,0.995,0.97883,0.2411,0.35751,0.69775,0.000283085,0.000283085,0.000283085
83,75.0546,0.32609,0.47174,0.81203,0.99714,1,0.995,0.97386,0.24138,0.35403,0.69464,0.000268938,0.000268938,0.000268938
84,75.9491,0.30017,0.45718,0.81361,0.99715,1,0.995,0.97437,0.24151,0.3459,0.69572,0.000254791,0.000254791,0.000254791
85,76.7733,0.29583,0.44374,0.82516,0.99715,1,0.995,0.97437,0.24151,0.3459,0.69572,0.000240644,0.000240644,0.000240644
86,77.7269,0.3098,0.47799,0.82226,0.99708,1,0.995,0.977,0.23165,0.34842,0.69394,0.000226497,0.000226497,0.000226497
87,78.5948,0.2839,0.44438,0.82637,0.99691,1,0.995,0.9765,0.22379,0.35467,0.69075,0.000212349,0.000212349,0.000212349
88,79.4552,0.29058,0.45872,0.81079,0.99689,1,0.995,0.97714,0.22933,0.35442,0.69085,0.000198202,0.000198202,0.000198202
89,80.2804,0.2861,0.46329,0.81983,0.99689,1,0.995,0.97714,0.22933,0.35442,0.69085,0.000184055,0.000184055,0.000184055
90,81.1474,0.27972,0.43686,0.81167,0.99705,1,0.995,0.97602,0.23285,0.35947,0.69173,0.000169908,0.000169908,0.000169908
91,107.936,0.25798,0.54497,0.7886,0.99709,1,0.995,0.97155,0.22865,0.35238,0.68995,0.000155761,0.000155761,0.000155761
92,108.848,0.26215,0.51302,0.78779,0.99693,1,0.995,0.9753,0.22319,0.34294,0.68688,0.000141614,0.000141614,0.000141614
93,109.673,0.24828,0.51153,0.79161,0.99693,1,0.995,0.9753,0.22319,0.34294,0.68688,0.000127467,0.000127467,0.000127467
94,110.651,0.25802,0.50435,0.78129,0.99667,1,0.995,0.98031,0.21837,0.36231,0.6829,0.00011332,0.00011332,0.00011332
95,111.558,0.24371,0.50476,0.79325,0.9963,1,0.995,0.97541,0.21485,0.3669,0.68089,9.91726e-05,9.91726e-05,9.91726e-05
96,112.415,0.24692,0.50555,0.82443,0.99609,1,0.995,0.97695,0.21141,0.3686,0.67937,8.50255e-05,8.50255e-05,8.50255e-05
97,113.232,0.25143,0.51813,0.80674,0.99609,1,0.995,0.97695,0.21141,0.3686,0.67937,7.08784e-05,7.08784e-05,7.08784e-05
98,114.101,0.23246,0.50134,0.79133,0.99602,1,0.995,0.97953,0.20812,0.3606,0.6791,5.67313e-05,5.67313e-05,5.67313e-05
99,114.948,0.24795,0.52706,0.79909,0.99607,1,0.995,0.97892,0.20575,0.3637,0.67872,4.25842e-05,4.25842e-05,4.25842e-05
100,115.824,0.24031,0.51821,0.7974,0.99613,1,0.995,0.98068,0.20802,0.36163,0.67879,2.84371e-05,2.84371e-05,2.84371e-05
